,tweets,likes,time
41,@WholeMarsBlog 11 lifetimes ago,22792,2021-11-09 06:21:07+00:00
42,@SciGuySpace Dragon enters like a shooting star,11713,2021-11-09 06:08:46+00:00
43,RT @SpaceX: Crew-2 astronauts have donned their spacesuits ahead of Dragon's reentry into the Earth's atmosphere https://t.co/1kKg2iH7ZA,0,2021-11-09 01:40:46+00:00
44,@skorusARK Really just comes down to iron  cathode for medium range vehicles &amp; stationary storage vs nickel cathode for long range vehicles,7043,2021-11-08 21:18:35+00:00
45,"RT @NASA: This is what teamwork sounds like.

As @SpaceX's Crew Dragon Endeavour begins its flyaround of the @Space_Station, @Astro_Sabot s…",0,2021-11-08 20:23:04+00:00
46,@mishaboar Important,18274,2021-11-08 19:28:11+00:00
47,"@Erdayastronaut @thesheetztweetz @BryceSpaceTech @SpaceX @Arianespace @ArianeGroup @roscosmos @northropgrumman @ulalaunch @torybruno @isro @RocketLab The Starship fleet is designed to achieve over 1000 times more payload to orbit than all other rockets on Earth combined. 

Almost no one understands this.",14135,2021-11-08 19:20:16+00:00
48,@Erdayastronaut @thesheetztweetz @BryceSpaceTech @SpaceX @Arianespace @ArianeGroup @roscosmos @northropgrumman @ulalaunch @torybruno @isro @RocketLab True,5093,2021-11-08 19:16:43+00:00
49,"@thesheetztweetz @BryceSpaceTech @SpaceX @Arianespace @ArianeGroup @roscosmos @northropgrumman @ulalaunch @torybruno @isro @RocketLab Actually, 41 tons for SpaceX in Q3 &amp; aiming for 80 tons in Q4. That said, China launch mass to orbit is extremely impressive.",5852,2021-11-08 19:13:39+00:00
50,RT @SpaceX: Watch Dragon depart the @space_station and return to Earth with Crew-2 astronauts → https://t.co/bJFjLCzWdK https://t.co/5Pb3Ct…,0,2021-11-08 19:08:07+00:00
51,@BrianFeroldi @joerogan https://t.co/6HWAI2yiY0,41705,2021-11-08 17:56:03+00:00
52,"RT @SpaceX: Following Crew-2’s return to Earth, Falcon 9 will launch Dragon’s third long-duration crew mission to the @Space_Station as soo…",0,2021-11-08 17:40:31+00:00
53,"RT @SpaceX: After a six-month stay, Dragon and the Crew-2 astronauts are set to depart the @space_station today at ~2:00 p.m. ET → https://…",0,2021-11-08 17:40:26+00:00
54,@shawncarelli @RonWyden Coming soon,7099,2021-11-08 01:15:23+00:00
55,@slashdot .@Wikipedia ahem,4185,2021-11-08 00:06:37+00:00
56,@RonWyden Why does ur pp look like u just came?,97920,2021-11-07 23:57:22+00:00
57,@WholeMarsBlog I had too many bottles of Teslaquila!,13872,2021-11-07 23:20:28+00:00
58,@lexfridman Exactly,13925,2021-11-07 22:48:11+00:00
59,@WholeMarsBlog 🤣,3866,2021-11-07 21:29:27+00:00
