,Date,Open,High,Low,Adj Close,Volume,ref_Close,Perc_ref,Perc_Change,Ticker,Net_Close,Net_High,Net_Low,PC 1,PC 2,PC 3,Class
40,2020-03-02,3.6,3.85,3.39,3.83,3208400,-2.4799999999999995,-0.3930269413629159,0.0600522193211488,GME,0.2299999999999999,0.25,-0.2099999999999999,-0.7332130777945431,-0.7209914025604918,0.16020845536859596,0
41,2020-03-03,3.88,3.89,3.5,3.63,4282500,-2.68,-0.4247226624405705,-0.0688705234159779,GME,-0.25,0.0100000000000002,-0.3799999999999999,-0.5340541651431425,-0.7962683901880488,0.28081085372999753,0
42,2020-03-04,3.71,3.83,3.46,3.77,4257600,-2.54,-0.4025356576862123,0.0159151193633952,GME,0.06,0.1200000000000001,-0.25,-0.6624407952057122,-0.7415512893564441,0.2519341213773091,0
43,2020-03-05,3.7,3.99,3.59,3.96,3599400,-2.35,-0.3724247226624405,0.0656565656565656,GME,0.2599999999999998,0.29,-0.1100000000000003,-0.7745195457368254,-0.6948623225715076,0.1754036690278868,0
44,2020-03-06,3.84,4.07,3.76,3.92,2096800,-2.39,-0.3787638668779714,0.0204081632653061,GME,0.08,0.2300000000000004,-0.08,-0.7479060854735503,-0.7937582555843803,0.13495703171076165,0
45,2020-03-09,3.59,3.97,3.5,3.7,2732000,-2.6099999999999994,-0.4136291600633914,0.0297297297297298,GME,0.1100000000000003,0.3800000000000003,-0.0899999999999998,-0.7549326593968044,-0.7030534931858308,0.10808191864867582,0
46,2020-03-10,3.94,4.26,3.8,4.23,4863200,-2.079999999999999,-0.3296354992076069,0.0685579196217495,GME,0.2900000000000005,0.3199999999999998,-0.1400000000000001,-0.7638402058211221,-0.6277680501043394,0.2178060926262837,0
47,2020-03-11,4.14,4.25,4.0,4.14,4414100,-2.17,-0.3438985736925515,0.0,GME,0.0,0.1100000000000003,-0.1399999999999996,-0.6838717395075564,-0.7523134377417131,0.2769255800397251,0
48,2020-03-12,3.7,4.04,3.48,3.98,5123400,-2.33,-0.369255150554675,0.0703517587939698,GME,0.2799999999999998,0.3399999999999998,-0.2200000000000002,-0.7327289509966359,-0.6032666652918055,0.21270422887911253,0
49,2020-03-13,4.13,4.65,3.85,4.59,5787200,-1.7199999999999998,-0.2725832012678288,0.1002178649237472,GME,0.4599999999999999,0.5200000000000005,-0.2799999999999998,-0.7612787676240949,-0.4850673345467103,0.16820589687336426,0
50,2020-03-16,3.93,4.57,3.9,4.37,4866700,-1.9399999999999995,-0.3074484944532487,0.1006864988558352,GME,0.4399999999999999,0.6400000000000001,-0.0300000000000002,-0.8558109704364343,-0.49292141496483655,0.11419767212017004,0
51,2020-03-17,4.4,4.65,4.11,4.23,3562200,-2.079999999999999,-0.3296354992076069,-0.0401891252955082,GME,-0.1699999999999999,0.25,-0.29,-0.6028355356291487,-0.7265565651319696,0.17168149015799747,0
