,Date,Open,High,Low,Adj Close,Volume,b_ref_Close,b_Perc_ref,a_ref_Close,a_Perc_ref,Ticker,Net_Close,Net_High
48,2020-03-12,3.7,4.04,3.48,3.98,5123400,-1.6599999999999997,-0.29432624113475175,-49.52,-0.9256074766355141,GME,0.2799999999999998,0.33999999999999986
49,2020-03-13,4.13,4.65,3.85,4.59,5787200,-1.0499999999999998,-0.18617021276595744,-48.91,-0.9142056074766355,GME,0.45999999999999996,0.5200000000000005
50,2020-03-16,3.93,4.57,3.9,4.37,4866700,-1.2699999999999996,-0.22517730496453894,-49.13,-0.9183177570093458,GME,0.43999999999999995,0.6400000000000001
51,2020-03-17,4.4,4.65,4.11,4.23,3562200,-1.4099999999999993,-0.2499999999999999,-49.269999999999996,-0.9209345794392523,GME,-0.16999999999999993,0.25
52,2020-03-18,4.1,4.25,3.5,3.77,3651700,-1.8699999999999997,-0.3315602836879432,-49.73,-0.9295327102803738,GME,-0.3299999999999996,0.15000000000000036
53,2020-03-19,3.71,4.2,3.55,4.19,5039500,-1.4499999999999993,-0.2570921985815602,-49.31,-0.9216822429906543,GME,0.4800000000000004,0.4900000000000002
54,2020-03-20,4.08,4.08,3.65,3.76,7722200,-1.88,-0.3333333333333333,-49.74,-0.9297196261682243,GME,-0.3200000000000003,0.0
55,2020-03-23,3.58,3.86,3.5,3.81,6009800,-1.8299999999999996,-0.3244680851063829,-49.69,-0.9287850467289719,GME,0.22999999999999998,0.2799999999999998
56,2020-03-24,3.95,4.21,3.89,4.16,6805600,-1.4799999999999995,-0.26241134751773043,-49.34,-0.9222429906542057,GME,0.20999999999999996,0.2599999999999998
57,2020-03-25,4.15,4.49,4.04,4.17,3592100,-1.4699999999999998,-0.2606382978723404,-49.33,-0.9220560747663551,GME,0.019999999999999574,0.33999999999999986
58,2020-03-26,4.24,4.71,4.24,4.41,6185700,-1.2299999999999995,-0.21808510638297865,-49.09,-0.9175700934579439,GME,0.16999999999999993,0.46999999999999975
59,2020-03-27,4.94,5.09,4.15,4.22,7024800,-1.42,-0.25177304964539005,-49.28,-0.9211214953271029,GME,-0.7200000000000006,0.14999999999999947
60,2020-03-30,4.22,4.27,3.65,3.65,3350600,-1.9899999999999998,-0.3528368794326241,-49.85,-0.9317757009345795,GME,-0.5699999999999998,0.04999999999999982
61,2020-03-31,3.63,3.8,3.5,3.5,2300900,-2.1399999999999997,-0.37943262411347517,-50.0,-0.9345794392523364,GME,-0.1299999999999999,0.16999999999999993
62,2020-04-01,3.45,3.49,3.12,3.25,4568700,-2.3899999999999997,-0.4237588652482269,-50.25,-0.9392523364485982,GME,-0.20000000000000018,0.040000000000000036
63,2020-04-02,3.26,3.35,2.85,2.85,4064300,-2.7899999999999996,-0.49468085106382975,-50.65,-0.9467289719626168,GME,-0.4099999999999997,0.0900000000000003
64,2020-04-03,2.85,2.94,2.57,2.8,3830400,-2.84,-0.5035460992907801,-50.7,-0.9476635514018692,GME,-0.050000000000000266,0.08999999999999986
