Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,0.880000,1.080000,0.880000,1.050000,1.050000,447600
2020-01-03,0.990000,1.000000,0.930000,0.960000,0.960000,128000
2020-01-06,0.960000,1.060000,0.960000,0.970000,0.970000,192100
2020-01-07,0.980000,1.120000,0.980000,1.090000,1.090000,1039100
2020-01-08,1.130000,1.130000,0.920000,0.950000,0.950000,487700
2020-01-09,0.900000,0.950000,0.900000,0.930000,0.930000,129500
2020-01-10,0.960000,0.990000,0.920000,0.930000,0.930000,186400
2020-01-13,0.930000,0.960000,0.900000,0.910000,0.910000,92500
2020-01-14,0.950000,1.030000,0.950000,0.990000,0.990000,346300
2020-01-15,1.050000,1.050000,0.970000,0.990000,0.990000,107100
2020-01-16,0.990000,1.040000,0.940000,1.020000,1.020000,138100
2020-01-17,0.990000,1.040000,0.990000,1.030000,1.030000,139900
2020-01-21,1.020000,1.040000,0.970000,0.980000,0.980000,138100
2020-01-22,0.970000,1.010000,0.970000,0.980000,0.980000,55000
2020-01-23,0.970000,0.970000,0.940000,0.940000,0.940000,78000
2020-01-24,0.940000,0.950000,0.920000,0.930000,0.930000,91100
2020-01-27,0.910000,1.000000,0.910000,0.950000,0.950000,102800
2020-01-28,0.970000,1.120000,0.970000,1.010000,1.010000,510700
2020-01-29,1.040000,1.040000,0.970000,0.990000,0.990000,85200
2020-01-30,0.990000,1.100000,0.960000,1.070000,1.070000,238100
2020-01-31,1.100000,1.100000,0.990000,1.040000,1.040000,163500
2020-02-03,1.040000,1.060000,1.000000,1.020000,1.020000,102900
2020-02-04,1.050000,1.050000,0.990000,1.020000,1.020000,63300
2020-02-05,1.050000,1.170000,1.050000,1.150000,1.150000,433700
2020-02-06,1.180000,1.200000,1.080000,1.110000,1.110000,259200
2020-02-07,1.100000,1.200000,1.100000,1.140000,1.140000,96100
2020-02-10,1.200000,1.220000,1.080000,1.110000,1.110000,199700
2020-02-11,1.110000,1.280000,1.100000,1.180000,1.180000,415300
2020-02-12,1.220000,1.350000,1.220000,1.260000,1.260000,449400
2020-02-13,1.270000,1.340000,1.220000,1.250000,1.250000,128800
2020-02-14,1.250000,1.300000,1.240000,1.250000,1.250000,92800
2020-02-18,1.180000,1.220000,1.060000,1.110000,1.110000,303000
2020-02-19,1.190000,1.190000,1.010000,1.070000,1.070000,224400
2020-02-20,1.040000,1.050000,1.000000,1.040000,1.040000,101500
2020-02-21,1.010000,1.050000,1.000000,1.030000,1.030000,86600
2020-02-24,1.010000,1.040000,0.960000,0.980000,0.980000,150400
2020-02-25,0.980000,1.000000,0.950000,0.950000,0.950000,48900
2020-02-26,0.950000,0.990000,0.950000,0.960000,0.960000,113700
2020-02-27,0.960000,0.960000,0.800000,0.930000,0.930000,197500
2020-02-28,0.850000,0.900000,0.830000,0.860000,0.860000,141600
2020-03-02,0.870000,0.920000,0.860000,0.880000,0.880000,59800
2020-03-03,0.910000,0.920000,0.850000,0.900000,0.900000,81200
2020-03-04,0.900000,0.910000,0.860000,0.910000,0.910000,27800
