Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,124.660004,126.269997,124.230003,125.849998,122.641548,2708000
2020-01-03,124.320000,125.099998,123.940002,124.599998,121.423416,2090600
2020-01-06,123.370003,124.160004,123.120003,124.059998,120.897179,2855200
2020-01-07,123.470001,124.400002,123.360001,123.410004,120.263756,2042300
2020-01-08,124.050003,126.360001,123.800003,125.540001,122.339447,3458200
2020-01-09,126.489998,127.879997,126.389999,127.809998,124.551567,2787100
2020-01-10,127.580002,128.169998,126.919998,127.279999,124.035088,2789200
2020-01-13,127.839996,128.949997,127.629997,128.539993,125.262962,3285700
2020-01-14,128.619995,130.089996,128.339996,128.800003,125.516350,3836000
2020-01-15,128.690002,129.839996,128.449997,129.820007,126.510353,3187200
2020-01-16,130.500000,130.929993,129.710007,130.550003,127.221725,2424500
2020-01-17,131.449997,131.860001,130.789993,131.520004,128.166992,3659400
2020-01-21,131.110001,131.820007,130.389999,130.529999,127.202263,3102700
2020-01-22,130.929993,132.270004,130.929993,131.490005,128.137756,2483800
2020-01-23,131.259995,131.570007,130.139999,131.369995,128.020813,3841000
2020-01-24,136.360001,138.130005,133.850006,135.110001,131.665482,8612500
2020-01-27,131.149994,131.979996,128.869995,130.639999,127.309433,6432400
2020-01-28,132.000000,133.869995,131.139999,132.449997,129.073288,3712700
2020-01-29,132.479996,133.130005,131.440002,131.679993,128.322922,2518400
2020-01-30,130.750000,133.330002,130.440002,133.220001,129.823654,2428500
2020-01-31,132.169998,132.250000,129.380005,129.869995,126.559074,3522600
2020-02-03,130.550003,132.220001,130.449997,131.000000,127.660248,2721900
2020-02-04,132.880005,133.339996,131.720001,131.850006,128.488586,2547500
2020-02-05,133.429993,133.800003,131.289993,133.600006,130.193970,4084500
2020-02-06,134.160004,134.350006,133.110001,133.250000,129.852890,1708600
2020-02-07,132.570007,132.750000,131.339996,131.820007,128.459351,2885600
2020-02-10,131.610001,132.500000,131.350006,132.240005,128.868652,1816500
2020-02-11,133.029999,133.649994,132.320007,132.630005,129.248718,1733300
2020-02-12,133.389999,133.720001,132.529999,133.240005,129.843140,1715400
2020-02-13,133.149994,134.669998,133.059998,134.460007,131.032043,3178300
2020-02-14,134.710007,136.369995,134.529999,135.869995,132.406113,2360300
2020-02-18,135.869995,136.750000,134.940002,135.600006,132.142990,2428200
2020-02-19,136.300003,137.419998,136.119995,136.929993,133.439087,1785000
2020-02-20,136.410004,138.039993,134.899994,136.580002,133.098007,2541700
2020-02-21,136.199997,136.270004,133.889999,134.899994,131.460831,3106100
2020-02-24,129.429993,130.960007,127.230003,128.190002,124.921906,6329300
2020-02-25,127.709999,127.989998,119.910004,120.900002,117.817741,7628100
2020-02-26,121.269997,122.430000,118.470001,118.500000,115.478928,5268000
2020-02-27,115.900002,117.480003,112.779999,112.809998,109.933998,8279800
2020-02-28,109.050003,111.029999,107.000000,109.930000,107.127426,11362100
2020-03-02,111.110001,113.989998,108.589996,113.870003,110.966972,9851600
2020-03-03,115.019997,116.400002,107.000000,108.010002,105.256371,9285000
2020-03-04,110.250000,115.790001,109.250000,115.699997,112.750313,7470900
2020-03-05,111.620003,112.589996,109.699997,110.940002,108.111671,12060600
2020-03-06,105.730003,108.769997,103.790001,108.239998,105.480507,9897700
2020-03-09,100.870003,101.440002,96.940002,98.290001,95.784172,12266300
2020-03-10,101.930000,103.370003,97.449997,103.300003,100.666443,9793200
2020-03-11,100.300003,100.959999,93.870003,95.379997,92.948364,8822900
2020-03-12,87.660004,89.610001,81.809998,83.529999,81.400467,12206600
2020-03-13,90.379997,100.080002,84.300003,99.599998,97.060760,12680400
2020-03-16,82.440002,93.180000,80.370003,85.870003,83.680809,15072400
2020-03-17,87.610001,88.940002,83.220001,86.580002,84.372719,10512200
2020-03-18,80.019997,81.519997,67.000000,73.750000,71.869812,14359300
2020-03-19,72.540001,77.889999,69.790001,77.070000,75.105156,12330400
2020-03-20,78.980003,82.440002,72.559998,74.120003,72.230377,12208600
2020-03-23,72.820000,75.419998,68.120003,68.959999,67.201920,8907600
2020-03-24,73.510002,84.769997,71.699997,84.050003,81.907219,10593900
2020-03-25,87.610001,96.459999,85.320000,90.169998,87.871178,11046500
2020-03-26,92.239998,99.690002,90.839996,93.290001,90.911636,9459400
2020-03-27,87.940002,91.970001,85.820000,88.730003,86.467903,6999800
2020-03-30,88.510002,91.389999,85.269997,90.269997,87.968636,5565000
2020-03-31,89.940002,90.900002,85.070000,85.610001,83.427437,6075900
2020-04-01,80.650002,81.309998,77.000000,77.839996,75.855530,8313400
2020-04-02,77.059998,79.120003,75.830002,76.660004,75.120590,8338100
